Event,Session,Competitor,CompetitorName,Sector1,Sector2,Sector3,Sector4,Speed,LapTime,LocalTime,Lap,Box,Cancelled,CurrentPosition,FinalPosition,SessionPosition,LapsRunningCount,CircuitName,CircuitLength,Constructor,CompetitorDOB,TeamName,Championship,WetWeather,TotalSmallSectors,SmallSector1,SmallSector2,SmallSector3,SmallSector4,SmallSector5,SmallSector6,SmallSector7,SmallSector8,SmallSector9,RaceRedFlagNotValid,TeamType,CompetitorType
1,RC2,51,Granado Eric,22629,27306,18173,26467,309.4,134575,26022023 161418075,9,False,False,20,19,19,88,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3192,8687,10750,19239,8067,18173,6067,20400,-1,False,I,P
1,RC2,51,Granado Eric,22853,27416,18089,26288,296.7,134646,26022023 161552721,10,False,False,21,19,19,89,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3277,8856,10720,19385,8031,18089,6065,20223,-1,False,I,P
1,RC2,51,Granado Eric,22620,27485,18200,26175,307.6,134480,26022023 161727201,11,False,False,21,19,19,90,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3198,8711,10711,19433,8052,18200,6027,20148,-1,False,I,P
1,RC2,51,Granado Eric,22616,27282,18262,26302,309.4,134462,26022023 161901663,12,False,False,21,19,19,91,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3176,8766,10674,19229,8053,18262,6113,20189,-1,False,I,P
1,RC2,51,Granado Eric,22614,27724,18147,26385,311.2,134870,26022023 162036533,13,False,False,21,19,19,92,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3178,8635,10801,19645,8079,18147,6180,20205,-1,False,I,P
1,RC2,51,Granado Eric,22566,27299,18135,26289,308.5,134289,26022023 162210822,14,False,False,20,19,19,93,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3206,8660,10700,19265,8034,18135,6113,20176,-1,False,I,P
1,RC2,51,Granado Eric,22856,27294,18288,26293,302.5,134731,26022023 162345553,15,False,False,19,19,19,94,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3241,8873,10742,19216,8078,18288,6029,20264,-1,False,I,P
1,RC2,51,Granado Eric,22640,27316,18161,26363,302.5,134480,26022023 162520033,16,False,False,19,19,19,95,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3259,8736,10645,19230,8086,18161,6011,20352,-1,False,I,P
1,RC2,51,Granado Eric,22654,27657,18255,26435,302.5,135001,26022023 162655034,17,False,False,17,19,19,96,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3262,8758,10634,19560,8097,18255,6039,20396,-1,False,I,P
1,RC2,51,Granado Eric,22666,27456,18178,26277,303.3,134577,26022023 162829611,18,False,False,17,19,19,97,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3262,8779,10625,19373,8083,18178,5978,20299,-1,False,I,P
1,RC2,51,Granado Eric,22752,27394,18133,26627,302.5,134906,26022023 163004517,19,False,False,17,19,19,98,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3257,8907,10588,19284,8110,18133,6206,20421,-1,False,I,P
1,RC2,51,Granado Eric,22893,27504,18579,26502,302.5,135478,26022023 163139995,20,False,False,19,19,19,99,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3257,8901,10735,19386,8118,18579,6093,20409,-1,False,I,P
1,RC2,51,Granado Eric,22504,27303,18154,26424,305.0,134385,26022023 163314380,21,False,False,19,19,19,100,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3229,8627,10648,19273,8030,18154,6081,20343,-1,False,I,P
1,RC2,51,Granado Eric,22596,27528,18305,26576,303.3,135005,26022023 163449385,22,False,False,19,19,19,101,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3251,8720,10625,19427,8101,18305,6127,20449,-1,False,I,P
1,RC2,52,Konig Oliver,29648,27777,17954,26082,241.0,141461,26022023 160145899,1,False,False,22,18,18,82,Phillip Island,4445,Kawasaki,18/03/2002,Orelac Racing MOVISIO,WorldSBK,False,8,9285,9343,11020,19687,8090,17954,6093,19989,-1,False,I,P
1,RC2,52,Konig Oliver,22293,27173,17918,25929,312.1,133313,26022023 160319212,2,False,False,22,18,18,83,Phillip Island,4445,Kawasaki,18/03/2002,Orelac Racing MOVISIO,WorldSBK,False,8,3177,8529,10587,19203,7970,17918,6024,19905,-1,False,I,P
1,RC2,52,Konig Oliver,22331,27166,17890,26050,310.3,133437,26022023 160452649,3,False,False,21,18,18,84,Phillip Island,4445,Kawasaki,18/03/2002,Orelac Racing MOVISIO,WorldSBK,False,8,3192,8555,10584,19072,8094,17890,6047,20003,-1,False,I,P
1,RC2,52,Konig Oliver,22375,27293,17875,26203,311.2,133746,26022023 160626395,4,False,False,21,18,18,85,Phillip Island,4445,Kawasaki,18/03/2002,Orelac Racing MOVISIO,WorldSBK,False,8,3206,8593,10576,19215,8078,17875,6074,20129,-1,False,I,P
1,RC2,52,Konig Oliver,22503,27275,17947,26209,308.5,133934,26022023 160800329,5,False,False,20,18,18,86,Phillip Island,4445,Kawasaki,18/03/2002,Orelac Racing MOVISIO,WorldSBK,False,8,3197,8713,10593,19204,8071,17947,6026,20183,-1,False,I,P
1,RC2,52,Konig Oliver,22634,27440,18053,26265,305.0,134392,26022023 160934721,6,False,False,20,18,18,87,Phillip Island,4445,Kawasaki,18/03/2002,Orelac Racing MOVISIO,WorldSBK,False,8,3238,8681,10715,19427,8013,18053,6004,20261,-1,False,I,P
1,RC2,52,Konig Oliver,22541,27396,18045,26171,305.9,134153,26022023 161108874,7,False,False,20,18,18,88,Phillip Island,4445,Kawasaki,18/03/2002,Orelac Racing MOVISIO,WorldSBK,False,8,3244,8714,10583,19332,8064,18045,6004,20167,-1,False,I,P
